"g","p"
"BCO-DMO","http://schema.org/contentUrl"
"BCO-DMO","http://schema.org/datePublished"
"BCO-DMO","http://schema.org/fileFormat"
"BCO-DMO","http://schema.org/inLanguage"
"BCO-DMO","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"IEDA","http://schema.org/additionalType"
"IEDA","http://schema.org/encodingFormat"
"IEDA","http://schema.org/name"
"IEDA","http://schema.org/url"
"IEDA","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"IEDA","http://www.w3.org/ns/dcat#accessURL"
"Neotoma","http://schema.org/contentUrl"
"Neotoma","http://schema.org/datePublished"
"Neotoma","http://schema.org/inLanguage"
"Neotoma","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"Open Core Data","http://schema.org/contentUrl"
"Open Core Data","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"UNAVCO","http://schema.org/contentUrl"
"UNAVCO","http://schema.org/encodingFormat"
"UNAVCO","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"LinkedEarth","http://schema.org/contentUrl"
"LinkedEarth","http://schema.org/encodingFormat"
"LinkedEarth","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
