"class","class_count"
"http://schema.org/PropertyValue",598367
"http://schema.org/Place",121541
"http://schema.org/GeoCoordinates",115540
"http://schema.org/DataDownload",54665
"http://schema.org/Organization",52511
"http://schema.org/Dataset",47591
"http://schema.org/CreativeWork",39714
"http://schema.org/Person",23431
"http://schema.org/DataCatalog",16613
"http://schema.org/ContactPoint",10269
"http://schema.org/Role",9227
"http://schema.org/GeoShape",6442
"http://schema.org/PostalAddress",6043
"http://schema.org/ImageObject",6027
"http://schema.org/Event",2075
"http://schema.orgPropertyValue",1593
"http://schema.org/Offer",1155
"http://schema.org/Vehicle",231
"http://schema.orgDataset",59
"http://schema.orgDataCatalog",59
"http://schema.org/DigitalDocument",9
"http://schema.org/SearchAction",9
"http://schema.org/EntryPoint",7
"http://schema.org/Service",7
"http://schema.org/ServiceChannel",6
"http://schema.org/SiteNavigationElement",6
"http://schema.org/PropertyValueSpecification",5
"http://schema.org/OfferCatalog",3
"http://schema.org/ProgramMembership",2
"http://schema.org/WebSite",2
"http://schema.org/ConsumeAction",2
"http://schema.org/Thing",1
"http://schema.org/Action",1
"http://schema.org/Audience",1
"http://schema.org/CreateAction",1
"http://schema.org/WebPage",1
