"graph","class"
"BALTO","http://schema.org/DataCatalog"
"BALTO","http://schema.org/Dataset"
"BALTO","http://schema.org/Organization"
"BALTO","http://schema.org/PostalAddress"
"BALTO","http://schema.orgDataCatalog"
"BALTO","http://schema.orgDataset"
"BALTO","http://schema.orgPropertyValue"
"BCO-DMO","http://schema.org/Action"
"BCO-DMO","http://schema.org/Audience"
"BCO-DMO","http://schema.org/ConsumeAction"
"BCO-DMO","http://schema.org/ContactPoint"
"BCO-DMO","http://schema.org/CreateAction"
"BCO-DMO","http://schema.org/CreativeWork"
"BCO-DMO","http://schema.org/DataCatalog"
"BCO-DMO","http://schema.org/DataDownload"
"BCO-DMO","http://schema.org/Dataset"
"BCO-DMO","http://schema.org/DigitalDocument"
"BCO-DMO","http://schema.org/EntryPoint"
"BCO-DMO","http://schema.org/Event"
"BCO-DMO","http://schema.org/GeoShape"
"BCO-DMO","http://schema.org/ImageObject"
"BCO-DMO","http://schema.org/Offer"
"BCO-DMO","http://schema.org/OfferCatalog"
"BCO-DMO","http://schema.org/Organization"
"BCO-DMO","http://schema.org/Person"
"BCO-DMO","http://schema.org/Place"
"BCO-DMO","http://schema.org/PostalAddress"
"BCO-DMO","http://schema.org/PropertyValue"
"BCO-DMO","http://schema.org/PropertyValueSpecification"
"BCO-DMO","http://schema.org/Role"
"BCO-DMO","http://schema.org/SearchAction"
"BCO-DMO","http://schema.org/Service"
"BCO-DMO","http://schema.org/ServiceChannel"
"BCO-DMO","http://schema.org/SiteNavigationElement"
"BCO-DMO","http://schema.org/Thing"
"BCO-DMO","http://schema.org/Vehicle"
"BCO-DMO","http://schema.org/WebPage"
"BCO-DMO","http://schema.org/WebSite"
"MagIC","http://schema.orgDataset"
"MagIC","http://schema.orgGeoCoordinates"
"MagIC","http://schema.orgGeoShape"
"MagIC","http://schema.orgPlace"
"IEDA","http://schema.org/ContactPoint"
"IEDA","http://schema.org/CreativeWork"
"IEDA","http://schema.org/DataDownload"
"IEDA","http://schema.org/Dataset"
"IEDA","http://schema.org/DigitalDocument"
"IEDA","http://schema.org/GeoCoordinates"
"IEDA","http://schema.org/GeoShape"
"IEDA","http://schema.org/ImageObject"
"IEDA","http://schema.org/Organization"
"IEDA","http://schema.org/Person"
"IEDA","http://schema.org/Place"
"IEDA","http://schema.org/PostalAddress"
"IEDA","http://schema.org/PropertyValue"
"IRIS","http://schema.org/DataCatalog"
"IRIS","http://schema.org/Dataset"
"IRIS","http://schema.org/Organization"
"IRIS","http://schema.org/Person"
"Neotoma","http://schema.org/DataCatalog"
"Neotoma","http://schema.org/DataDownload"
"Neotoma","http://schema.org/Dataset"
"Neotoma","http://schema.org/GeoCoordinates"
"Neotoma","http://schema.org/Organization"
"Neotoma","http://schema.org/Person"
"Neotoma","http://schema.org/Place"
"Open Core Data","http://schema.org/ContactPoint"
"Open Core Data","http://schema.org/DataDownload"
"Open Core Data","http://schema.org/Dataset"
"Open Core Data","http://schema.org/DigitalDocument"
"Open Core Data","http://schema.org/EntryPoint"
"Open Core Data","http://schema.org/GeoCoordinates"
"Open Core Data","http://schema.org/Organization"
"Open Core Data","http://schema.org/Place"
"Open Core Data","http://schema.org/ProgramMembership"
"Open Core Data","http://schema.org/PropertyValue"
"Open Core Data","http://schema.org/SearchAction"
"Open Core Data","http://schema.org/WebSite"
"Open Topography","http://schema.org/ContactPoint"
"Open Topography","http://schema.org/DataCatalog"
"Open Topography","http://schema.org/Dataset"
"Open Topography","http://schema.org/EntryPoint"
"Open Topography","http://schema.org/GeoShape"
"Open Topography","http://schema.org/ImageObject"
"Open Topography","http://schema.org/Organization"
"Open Topography","http://schema.org/Place"
"Open Topography","http://schema.org/ProgramMembership"
"Open Topography","http://schema.org/PropertyValue"
"Open Topography","http://schema.org/SearchAction"
"UNAVCO","http://schema.org/ContactPoint"
"UNAVCO","http://schema.org/DataCatalog"
"UNAVCO","http://schema.org/DataDownload"
"UNAVCO","http://schema.org/Dataset"
"UNAVCO","http://schema.org/GeoCoordinates"
"UNAVCO","http://schema.org/Organization"
"UNAVCO","http://schema.org/Place"
"LinkedEarth","http://schema.org/CreativeWork"
"LinkedEarth","http://schema.org/DataDownload"
"LinkedEarth","http://schema.org/Dataset"
"LinkedEarth","http://schema.org/GeoCoordinates"
"LinkedEarth","http://schema.org/Organization"
"LinkedEarth","http://schema.org/Person"
"LinkedEarth","http://schema.org/Place"
