"class","instances"
"http://schema.org/Action",1
"http://schema.org/Audience",1
"http://schema.org/ConsumeAction",2
"http://schema.org/ContactPoint",10053
"http://schema.org/CreateAction",1
"http://schema.org/CreativeWork",39669
"http://schema.org/DataCatalog",16397
"http://schema.org/DataDownload",50197
"http://schema.org/Dataset",45493
"http://schema.org/DigitalDocument",9
"http://schema.org/EntryPoint",7
"http://schema.org/Event",2067
"http://schema.org/GeoCoordinates",105118
"http://schema.org/GeoShape",6001
"http://schema.org/ImageObject",6027
"http://schema.org/Offer",1154
"http://schema.org/OfferCatalog",3
"http://schema.org/Organization",52249
"http://schema.org/Person",23426
"http://schema.org/Place",119296
"http://schema.org/PostalAddress",6043
"http://schema.org/ProgramMembership",2
"http://schema.org/PropertyValue",597302
"http://schema.org/PropertyValueSpecification",5
"http://schema.org/Role",9150
"http://schema.org/SearchAction",9
"http://schema.org/Service",7
"http://schema.org/ServiceChannel",6
"http://schema.org/SiteNavigationElement",6
"http://schema.org/Thing",1
"http://schema.org/Vehicle",228
"http://schema.org/WebPage",1
"http://schema.org/WebSite",2
"http://schema.orgDataCatalog",59
"http://schema.orgDataset",1909
"http://schema.orgGeoCoordinates",10137
"http://schema.orgGeoShape",418
"http://schema.orgPlace",1843
"http://schema.orgPropertyValue",1593
