"graph","class"
"http://bcodmo","http://purl.org/spar/datacite/Identifier"
"http://bcodmo","http://schema.geolink.org/1.0/base/main#Dataset"
"http://bcodmo","http://schema.geolink.org/1.0/base/main#Identifier"
"http://bcodmo","http://schema.geolink.org/1.0/base/main#Person"
"http://bcodmo","http://schema.geolink.org/1.0/voc/local#roletype_program_manager"
"http://bcodmo","http://schema.geolink.org/1.0/base/main#Award"
"http://bcodmo","http://schema.geolink.org/1.0/base/main#Cruise"
"http://bcodmo","http://schema.geolink.org/1.0/base/main#Platform"
"http://bcodmo","http://schema.geolink.org/1.0/base/main#Participant"
"http://bcodmo","http://schema.geolink.org/1.0/base/main#Organization"
"http://bcodmo","http://vivoweb.org/ontology/core#Dataset"
"http://bcodmo","https://geodex.org/voc/Protocol-License"
"http://bcodmo","https://library.ucar.edu/earthcollab/schema#Project"
"http://bcodmo","https://library.ucar.edu/earthcollab/schema#Parameter"
"http://bcodmo","https://library.ucar.edu/earthcollab/schema#Protocol-ResourceSubmissionPolicy"
"http://bcodmo","https://library.ucar.edu/earthcollab/schema#Protocol-TermsOfUse"
"http://bcodmo","https://library.ucar.edu/earthcollab/schema#OutreachActivities"
"http://bcodmo","https://library.ucar.edu/earthcollab/schema#OutreachActivity-UserWorkshop"
"http://bcodmo","https://library.ucar.edu/earthcollab/schema#Protocol-Access"
"http://bcodmo","https://library.ucar.edu/earthcollab/schema#SyndicationService"
"http://bcodmo","https://library.ucar.edu/earthcollab/schema#ResearchResourceTypes"
"http://bcodmo","https://library.ucar.edu/earthcollab/schema#SearchService"
"http://bcodmo","https://library.ucar.edu/earthcollab/schema#ResearchRepositoryService"
"http://bcodmo","https://library.ucar.edu/earthcollab/schema#SitemapXML"
"http://bcodmo","https://library.ucar.edu/earthcollab/schema#SubmissionService"
"http://ieda","gdx:Protocol-License"
"http://ieda","http://purl.org/spar/datacite/Identifier"
"http://ieda","http://schema.geolink.org/1.0/base/main#Dataset"
"http://ieda","http://schema.geolink.org/1.0/base/main#Identifier"
"http://ieda","http://schema.geolink.org/1.0/base/main#Person"
"http://ieda","http://schema.geolink.org/1.0/base/main#PhysicalSample"
"http://ieda","http://vivoweb.org/ontology/core#Dataset"
"http://ieda","http://www.w3.org/ns/dcat#distribution"
"http://ieda","https://library.ucar.edu/earthcollab/schema#Project"
"http://opentopography","datacite:Identifier"
"http://opentopography","geolink:Dataset"
"http://opentopography","geolink:Identifier"
"http://opentopography","geolink:Organization"
"http://opentopography","vivo:Dataset"
