"graph","class","instances"
"http://bcodmo","http://purl.org/spar/datacite/Identifier",1
"http://bcodmo","http://schema.geolink.org/1.0/base/main#Dataset",4088
"http://bcodmo","http://schema.geolink.org/1.0/base/main#Identifier",1
"http://bcodmo","http://schema.geolink.org/1.0/base/main#Person",1683
"http://bcodmo","http://schema.geolink.org/1.0/voc/local#roletype_program_manager",54
"http://bcodmo","http://schema.geolink.org/1.0/base/main#Award",1154
"http://bcodmo","http://schema.geolink.org/1.0/base/main#Cruise",2067
"http://bcodmo","http://schema.geolink.org/1.0/base/main#Platform",228
"http://bcodmo","http://schema.geolink.org/1.0/base/main#Participant",9150
"http://bcodmo","http://schema.geolink.org/1.0/base/main#Organization",4235
"http://bcodmo","http://vivoweb.org/ontology/core#Dataset",4088
"http://bcodmo","https://geodex.org/voc/Protocol-License",1
"http://bcodmo","https://library.ucar.edu/earthcollab/schema#Project",674
"http://bcodmo","https://library.ucar.edu/earthcollab/schema#Parameter",68008
"http://bcodmo","https://library.ucar.edu/earthcollab/schema#Protocol-ResourceSubmissionPolicy",1
"http://bcodmo","https://library.ucar.edu/earthcollab/schema#Protocol-TermsOfUse",2
"http://bcodmo","https://library.ucar.edu/earthcollab/schema#OutreachActivities",1
"http://bcodmo","https://library.ucar.edu/earthcollab/schema#OutreachActivity-UserWorkshop",1
"http://bcodmo","https://library.ucar.edu/earthcollab/schema#Protocol-Access",1
"http://bcodmo","https://library.ucar.edu/earthcollab/schema#SyndicationService",2
"http://bcodmo","https://library.ucar.edu/earthcollab/schema#ResearchResourceTypes",1
"http://bcodmo","https://library.ucar.edu/earthcollab/schema#SearchService",2
"http://bcodmo","https://library.ucar.edu/earthcollab/schema#ResearchRepositoryService",1
"http://bcodmo","https://library.ucar.edu/earthcollab/schema#SitemapXML",1
"http://bcodmo","https://library.ucar.edu/earthcollab/schema#SubmissionService",1
"http://ieda","gdx:Protocol-License",1
"http://ieda","http://purl.org/spar/datacite/Identifier",33741
"http://ieda","http://schema.geolink.org/1.0/base/main#Dataset",6025
"http://ieda","http://schema.geolink.org/1.0/base/main#Identifier",33741
"http://ieda","http://schema.geolink.org/1.0/base/main#Person",8722
"http://ieda","http://schema.geolink.org/1.0/base/main#PhysicalSample",27716
"http://ieda","http://vivoweb.org/ontology/core#Dataset",6025
"http://ieda","http://www.w3.org/ns/dcat#distribution",11857
"http://ieda","https://library.ucar.edu/earthcollab/schema#Project",780
"http://opentopography","datacite:Identifier",245
"http://opentopography","geolink:Dataset",399
"http://opentopography","geolink:Identifier",245
"http://opentopography","geolink:Organization",399
"http://opentopography","vivo:Dataset",399
