provider,vocab
"BCO-DMO","https://geodex.org/voc/","Geodex"
"BCO-DMO","http://purl.org/spar/datacite","DataCite"
"BCO-DMO","http://schema.geolink.org/1.0/base/main#","GeoLink"
"BCO-DMO","http://vivoweb.org/ontology/core#","ViVO"
"BCO-DMO","https://library.ucar.edu/earthcollab/schema#","EarthCollab"
"IEDA","http://www.w3.org/ns/dcat#","DCAT - Data Catalog"
"IEDA","https://geodex.org/voc/","Geodex"
"IEDA","http://purl.org/spar/datacite","DataCite"
"IEDA","http://schema.geolink.org/1.0/base/main#","GeoLink"
"IEDA","http://vivoweb.org/ontology/core#","ViVO"
"IEDA","https://library.ucar.edu/earthcollab/schema#","EarthCollab"
"Open Topography","http://purl.org/spar/datacite","DataCite"
"Open Topography","http://vivoweb.org/ontology/core#"
"Open Topography","http://schema.geolink.org/1.0/base/main#","GeoLink"
"Open Core Data","http://example.org/re3data/0.1/","Re3Data"
