"property","used"
"http://www.w3.org/2000/01/rdf-schema#seeAlso",1200389
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type",1105892
"http://schema.org/name",720186
"http://schema.org/url",702771
"http://schema.org/description",624300
"http://schema.org/variableMeasured",560530
"http://schema.org/unitText",555299
"http://schema.org/additionalType",225741
"http://schema.org/geo",111119
"http://schema.org/spatialCoverage",111007
"http://schema.org/latitude",105118
"http://schema.org/longitude",105118
"http://schema.org/contentUrl",78304
"http://schema.org/distribution",50197
"http://schema.org/identifier",46370
"http://schema.org/publisher",40654
"http://schema.org/license",40641
"http://schema.org/keywords",40347
"http://schema.org/value",38202
"http://schema.org/propertyID",34783
"http://schema.org/creator",31254
"http://schema.org/alternateName",30660
"http://schema.org/hasPart",27716
"http://schema.org/datePublished",25559
"http://schema.org/about",23910
"http://schema.org/inLanguage",21471
"http://schema.org/includedInDataCatalog",21132
"http://schema.org/encodingFormat",20182
"http://schema.org/funder",17671
"http://schema.org/citation",15955
"http://schema.org/address",14332
"http://schema.org/elevation",12652
"http://schema.org/author",12033
"http://www.w3.org/ns/dcat#accessURL",11857
"http://schema.orggeo",10555
"http://schema.org/email",10468
"http://schema.orglongitude",10137
"http://schema.orglatitude",10137
"http://schema.org/provider",10114
"http://schema.org/version",10113
"http://schema.org/contactType",10053
"http://schema.org/contactPoint",10053
"http://schema.org/roleName",9150
"http://schema.org/isBasedOn",8289
"http://schema.org/location",8289
"http://schema.org/recordedIn",8289
"http://schema.org/recordedAt",8214
"http://schema.orgkeywords",8144
"http://schema.org/givenName",7984
"http://schema.org/familyName",7977
"http://schema.org/isPartOf",7339
"http://schema.org/measurementTechnique",6631
"http://schema.org/dateCreated",6449
"http://schema.org/logo",6426
"http://schema.org/addressCountry",6043
"http://schema.org/addressLocality",6043
"http://schema.org/addressRegion",6043
"http://schema.org/postalCode",6043
"http://schema.org/streetAddress",6027
"http://schema.org/box",6001
"http://schema.org/makesOffer",5373
"https://geodex.org/voc/fundedBy",5373
"http://schema.org/legalName",4641
"http://schema.org/publishingPrinciples",4093
"http://schema.org/telephone",4041
"http://schema.orgname",3558
"http://schema.org/additionalProperty",2382
"http://schema.orgurl",1909
"http://schema.org/startDate",1907
"http://schema.org/endDate",1904
"http://schema.orgcontributor",1850
"http://schema.orglicense",1850
"http://schema.orgcitation",1850
"http://schema.orgdateModified",1850
"http://schema.orgdatePublished",1850
"http://schema.orgversion",1847
"http://schema.orgspatialCoverage",1843
"http://schema.org/contributor",1217
"http://schema.org/sameAs",1130
"http://schema.org/offeredBy",1008
"http://schema.orgvalue",918
"http://schema.orgvalueReference",847
"http://schema.org/fileFormat",798
"http://schema.org/subjectOf",793
"http://schema.org/polygon",792
"http://schema.org/text",792
"http://purl.org/dc/terms/created",754
"http://purl.org/dc/terms/modified",754
"http://www.openlinksw.com/schemas/DAV#ownerUser",754
"http://schema.orgvariableMeasured",746
"http://purl.org/dc/terms/extent",741
"http://schema.org/Name",697
"http://schema.org/temporalCoverage",576
"http://schema.orgbox",418
"http://schema.org/isAccessibleForFree",415
"http://schema.org/award",399
"http://schema.org/locationCreated",399
"http://schema.org/Author",356
"http://schema.org/dataset",133
"http://schema.orgincludedInDataCatalog",59
"http://schema.orgsameAs",59
"http://schema.org/dateModified",27
"http://schema.org/image",27
"http://schema.org/affiliation",26
"http://schema.org/1",14
"http://schema.org/potentialAction",13
"http://schema.org/2",13
"http://schema.org/target",12
"http://schema.org/3",12
"http://schema.org/0",9
"http://schema.org/4",8
"http://schema.org/httpMethod",7
"http://schema.org/5",7
"http://schema.org/query-input",7
"http://schema.org/urlTemplate",7
"http://schema.org/mainContentOfPage",6
"http://schema.org/serviceUrl",6
"http://schema.org/parentOrganization",6
"http://schema.org/availableChannel",6
"http://schema.org/position",6
"http://schema.org/providesService",6
"http://schema.org/valueRequired",5
"http://schema.org/6",5
"http://schema.org/valueName",5
"http://schema.org/7",3
"http://schema.org/hasOfferCatalog",3
"http://schema.org/itemListElement",3
"http://www.w3.org/2000/01/rdf-schema#subClassOf",3
"http://schema.org/8",3
"http://schema.org/availableLanguage",3
"http://schema.org/9",2
"http://schema.org/category",2
"http://schema.org/hostingOrganization",2
"http://schema.org/programName",2
"http://schema.org/contentType",2
"http://schema.org/memberOf",2
"http://schema.org/10",1
"http://schema.org/12",1
"http://schema.org/14",1
"http://schema.org/17",1
"http://schema.org/21",1
"http://schema.org/23",1
"http://schema.org/27",1
"http://schema.org/foundingDate",1
"http://example.org/re3data/0.1/datalicense",1
"http://example.org/re3data/0.1/keyword",1
"http://schema.org/11",1
"http://schema.org/16",1
"http://schema.org/19",1
"http://schema.org/25",1
"http://schema.org/26",1
"http://schema.org/28",1
"http://schema.org/29",1
"http://schema.org/30",1
"http://schema.org/audienceType",1
"http://schema.org/object",1
"http://schema.org/fileformat",1
"http://schema.org/mainEntityOfPage",1
"http://schema.org/13",1
"http://schema.org/15",1
"http://schema.org/18",1
"http://schema.org/20",1
"http://schema.org/22",1
"http://schema.org/24",1
"http://schema.org/audience",1
