"graph","class","property"
"BALTO","http://schema.org/DataCatalog","http://schema.org/dataset"
"BALTO","http://schema.org/DataCatalog","http://schema.org/isAccessibleForFree"
"BALTO","http://schema.org/DataCatalog","http://schema.org/name"
"BALTO","http://schema.org/DataCatalog","http://schema.org/publisher"
"BALTO","http://schema.org/DataCatalog","http://schema.org/url"
"BALTO","http://schema.org/Dataset","http://schema.org/name"
"BALTO","http://schema.org/Dataset","http://schema.org/sameAs"
"BALTO","http://schema.org/Organization","http://schema.org/address"
"BALTO","http://schema.org/Organization","http://schema.org/email"
"BALTO","http://schema.org/Organization","http://schema.org/name"
"BALTO","http://schema.org/Organization","http://schema.org/telephone"
"BALTO","http://schema.org/PostalAddress","http://schema.org/addressCountry"
"BALTO","http://schema.org/PostalAddress","http://schema.org/addressLocality"
"BALTO","http://schema.org/PostalAddress","http://schema.org/addressRegion"
"BALTO","http://schema.org/PostalAddress","http://schema.org/postalCode"
"BALTO","http://schema.orgDataCatalog","http://schema.orgname"
"BALTO","http://schema.orgDataCatalog","http://schema.orgsameAs"
"BALTO","http://schema.orgDataset","http://schema.orgincludedInDataCatalog"
"BALTO","http://schema.orgDataset","http://schema.orgname"
"BALTO","http://schema.orgDataset","http://schema.orgurl"
"BALTO","http://schema.orgDataset","http://schema.orgvariableMeasured"
"BALTO","http://schema.orgPropertyValue","http://schema.orgname"
"BALTO","http://schema.orgPropertyValue","http://schema.orgvalue"
"BALTO","http://schema.orgPropertyValue","http://schema.orgvalueReference"
"BCO-DMO","http://schema.org/Action","http://schema.org/additionalType"
"BCO-DMO","http://schema.org/Action","http://schema.org/description"
"BCO-DMO","http://schema.org/Action","http://schema.org/name"
"BCO-DMO","http://schema.org/Action","http://schema.org/subjectOf"
"BCO-DMO","http://schema.org/Audience","http://schema.org/audienceType"
"BCO-DMO","http://schema.org/Audience","http://schema.org/name"
"BCO-DMO","http://schema.org/ConsumeAction","http://schema.org/object"
"BCO-DMO","http://schema.org/ConsumeAction","http://schema.org/target"
"BCO-DMO","http://schema.org/ContactPoint","http://schema.org/contactType"
"BCO-DMO","http://schema.org/ContactPoint","http://schema.org/email"
"BCO-DMO","http://schema.org/ContactPoint","http://schema.org/name"
"BCO-DMO","http://schema.org/ContactPoint","http://schema.org/url"
"BCO-DMO","http://schema.org/CreateAction","http://schema.org/target"
"BCO-DMO","http://schema.org/CreativeWork","http://schema.org/additionalType"
"BCO-DMO","http://schema.org/CreativeWork","http://schema.org/alternateName"
"BCO-DMO","http://schema.org/CreativeWork","http://schema.org/description"
