"g","class","action_url","p","o"
"BCO-DMO","http://schema.org/Organization","https://www.bco-dmo.org/search?keywords={query_string}",,
"BCO-DMO","http://schema.org/Service","http://lod.bco-dmo.org/sparql?default-graph-uri={graph_iri}&query={sparql_query}&output={format}&timeout={timeout_sec}&debug={on_or_off}","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/EntryPoint"
"BCO-DMO","http://schema.org/Service","http://lod.bco-dmo.org/sparql?default-graph-uri={graph_iri}&query={sparql_query}&output={format}&timeout={timeout_sec}&debug={on_or_off}","http://schema.org/description","Search BCO-DMO RDF through its SPARQL Endpoint"
"BCO-DMO","http://schema.org/Service","http://lod.bco-dmo.org/sparql?default-graph-uri={graph_iri}&query={sparql_query}&output={format}&timeout={timeout_sec}&debug={on_or_off}","http://schema.org/httpMethod","GET"
"BCO-DMO","http://schema.org/Service","http://lod.bco-dmo.org/sparql?default-graph-uri={graph_iri}&query={sparql_query}&output={format}&timeout={timeout_sec}&debug={on_or_off}","http://schema.org/httpMethod","POST"
"BCO-DMO","http://schema.org/Service","http://lod.bco-dmo.org/sparql?default-graph-uri={graph_iri}&query={sparql_query}&output={format}&timeout={timeout_sec}&debug={on_or_off}","http://schema.org/urlTemplate","http://lod.bco-dmo.org/sparql?default-graph-uri={graph_iri}&query={sparql_query}&output={format}&timeout={timeout_sec}&debug={on_or_off}"
"BCO-DMO","http://schema.org/Service","http://lod.bco-dmo.org/sparql?default-graph-uri={graph_iri}&query={sparql_query}&output={format}&timeout={timeout_sec}&debug={on_or_off}","http://schema.org/contentType","application/sparql-results+json"
"BCO-DMO","http://schema.org/Service","http://lod.bco-dmo.org/sparql?default-graph-uri={graph_iri}&query={sparql_query}&output={format}&timeout={timeout_sec}&debug={on_or_off}","http://schema.org/contentType","application/sparql-results+xml"
"BCO-DMO","http://schema.org/Service","https://www.bco-dmo.org/how-get-started",,
"BCO-DMO","http://schema.org/Service","https://www.bco-dmo.org/rss/datasets/recent.xml",,
"BCO-DMO","http://schema.org/Service","https://www.bco-dmo.org/sitemap.xml?page={page}","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/EntryPoint"
"BCO-DMO","http://schema.org/Service","https://www.bco-dmo.org/sitemap.xml?page={page}","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://www.bco-dmo.org/home"
"BCO-DMO","http://schema.org/Service","https://www.bco-dmo.org/sitemap.xml?page={page}","http://schema.org/url","https://www.bco-dmo.org/sitemap.xml"
"BCO-DMO","http://schema.org/Service","https://www.bco-dmo.org/sitemap.xml?page={page}","http://schema.org/additionalType","https://library.ucar.edu/earthcollab/schema#SitemapXML"
